"indicator","borough","year","aa_rate10kpy","count","daily_mean"
"Hospitalizations","Bronx",2013,57.502,24361,22.227
"Hospitalizations","Bronx",2014,53.975,23124,21.118
"Hospitalizations","Bronx",2015,48.578,20964,19.128
"Hospitalizations","Bronx",2016,41.37,17932,16.361
"Hospitalizations","Bronx",2017,36.119,15597,14.231
"Hospitalizations","Bronx",2018,33.54,14441,13.188
"Hospitalizations","Brooklyn",2006,33.51,23932,21.856
"Hospitalizations","Brooklyn",2007,33.067,23665,21.592
"Hospitalizations","Brooklyn",2008,33.552,24182,22.064
"Hospitalizations","Brooklyn",2009,33.424,24321,22.191
"Hospitalizations","Brooklyn",2010,32.815,24189,22.09
"Hospitalizations","Brooklyn",2011,30.912,23128,21.102
"Hospitalizations","Brooklyn",2012,29.417,22347,20.39
"Hospitalizations","Brooklyn",2013,27.766,21351,19.481
"Hospitalizations","Brooklyn",2014,24.375,18907,17.267
"Hospitalizations","Brooklyn",2015,19.941,15466,14.111
"Hospitalizations","Brooklyn",2016,15.481,11925,10.88
"Hospitalizations","Brooklyn",2017,13.239,10051,9.171
"Hospitalizations","Brooklyn",2018,12.64,9547,8.719
"Hospitalizations","Manhattan",2006,29.748,12409,11.332
"Hospitalizations","Manhattan",2007,29.693,12571,11.47
"Hospitalizations","Manhattan",2008,29.235,12482,11.389
"Hospitalizations","Manhattan",2009,28.377,12240,11.168
"Hospitalizations","Manhattan",2010,26.74,11600,10.594
"Hospitalizations","Manhattan",2011,25.036,10960,10
"Hospitalizations","Manhattan",2012,23.976,10582,9.655
"Hospitalizations","Manhattan",2013,23.308,10300,9.398
"Hospitalizations","Manhattan",2014,21.292,9377,8.563
"Hospitalizations","Manhattan",2015,18.4,7862,7.173
"Hospitalizations","Manhattan",2016,15.235,6293,5.742
"Hospitalizations","Manhattan",2017,13.379,5304,4.839
"Hospitalizations","Manhattan",2018,12.45,4980,4.548
"Hospitalizations","Queens",2006,22.631,14105,12.881
"Hospitalizations","Queens",2007,22.574,14085,12.851
"Hospitalizations","Queens",2008,21.922,13780,12.573
"Hospitalizations","Queens",2009,20.902,13328,12.161
"Hospitalizations","Queens",2010,19.528,12699,11.597
"Hospitalizations","Queens",2011,18.462,12242,11.17
"Hospitalizations","Queens",2012,17.487,11793,10.76
"Hospitalizations","Queens",2013,17.055,11599,10.583
"Hospitalizations","Queens",2014,15.901,10917,9.97
"Hospitalizations","Queens",2015,13.93,9525,8.691
"Hospitalizations","Queens",2016,11.725,7975,7.276
"Hospitalizations","Queens",2017,10.343,6873,6.271
"Hospitalizations","Queens",2018,9.9,6546,5.978
"Hospitalizations","Staten Island",2006,16.983,2315,2.114
"Hospitalizations","Staten Island",2007,17.681,2443,2.229
"Hospitalizations","Staten Island",2008,19.297,2707,2.47
"Hospitalizations","Staten Island",2009,20.133,2865,2.614
"Hospitalizations","Staten Island",2010,20.416,2945,2.689
"Hospitalizations","Staten Island",2011,20.032,2924,2.668
"Hospitalizations","Staten Island",2012,19.32,2828,2.58
"Hospitalizations","Staten Island",2013,18.507,2694,2.458
"Hospitalizations","Staten Island",2014,16.824,2433,2.222
"Hospitalizations","Staten Island",2015,15.484,2216,2.022
"Hospitalizations","Staten Island",2016,13.22,1862,1.699
"Hospitalizations","Staten Island",2017,11.708,1605,1.464
"Hospitalizations","Staten Island",2018,10.24,1404,1.282
"Hospitalizations","New York City",2006,34.058,78640,71.817
"Hospitalizations","New York City",2007,34.272,79411,72.455
"Hospitalizations","New York City",2008,34.63,80861,73.778
"Hospitalizations","New York City",2009,34.047,80298,73.265
"Hospitalizations","New York City",2010,32.711,78090,71.315
"Hospitalizations","New York City",2011,30.862,74627,68.09
"Hospitalizations","New York City",2012,29.543,72224,65.898
"Hospitalizations","New York City",2013,28.557,70305,64.147
"Hospitalizations","New York City",2014,26.145,64758,59.14
"Hospitalizations","New York City",2015,22.719,56033,51.125
"Hospitalizations","New York City",2016,18.78,45987,41.959
"Hospitalizations","New York City",2017,16.356,39430,35.976
"Hospitalizations","New York City",2018,15.31,36918,33.715
